epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.51395,1.14207,2.38042,2.42235,0.43464,0.13789,0.10847,0.03352,2.20336,9.31608,4.00541,3.75e-05,3.75e-05,3.75e-05
2,3.40908,1.09608,2.09719,2.40449,0.35771,0.15173,0.07885,0.02246,2.23287,8.66454,3.98346,8.74976e-05,8.74976e-05,8.74976e-05
3,5.50604,1.07511,2.21227,2.21503,0.36636,0.15331,0.07642,0.02115,2.19058,8.35278,3.8228,0.000137485,0.000137485,0.000137485
4,7.62696,1.01733,2.11883,2.21667,0.13439,0.17837,0.06089,0.0165,2.19052,8.57448,3.82438,0.000187454,0.000187454,0.000187454
5,9.73862,1.05332,2.06643,2.35906,0.12452,0.17468,0.05757,0.01488,2.19705,8.49845,3.84161,0.000237397,0.000237397,0.000237397
6,11.8052,1.10202,2.16417,2.3399,0.12752,0.20132,0.05756,0.01481,2.18635,8.54893,3.83285,0.000287305,0.000287305,0.000287305
7,13.8555,0.95905,1.8849,2.17285,0.1095,0.22768,0.07131,0.01941,2.18324,8.45722,3.82727,0.00033717,0.00033717,0.00033717
8,15.9186,1.05176,2.0394,2.27085,0.14021,0.20984,0.08619,0.02283,2.20622,8.19171,3.85516,0.000386985,0.000386985,0.000386985
9,17.9957,0.97977,2.05197,2.25709,0.14118,0.19721,0.08089,0.02169,2.20668,8.72525,3.88446,0.00043674,0.00043674,0.00043674
10,20.0656,1.03104,2.00795,2.28564,0.12664,0.21451,0.06505,0.0184,2.20826,9.68369,3.94832,0.000486429,0.000486429,0.000486429
11,22.1329,1.0774,2.13925,2.3277,0.10408,0.19202,0.06065,0.01633,2.22883,8.9816,3.97272,0.000536042,0.000536042,0.000536042
12,24.1978,0.96602,1.9507,2.16284,0.09971,0.21122,0.06215,0.01618,2.23316,8.53424,3.89584,0.000585573,0.000585573,0.000585573
13,26.2671,1.1262,2.36399,2.39417,0.13828,0.22583,0.08822,0.02034,2.19591,8.28285,3.77603,0.000635012,0.000635012,0.000635012
14,28.3244,1.01527,1.93827,2.2629,0.16935,0.19954,0.09497,0.02322,2.18402,8.00595,3.73165,0.000684351,0.000684351,0.000684351
15,30.3838,0.9773,1.793,2.13347,0.3764,0.11219,0.08247,0.02457,2.22081,8.58917,3.81506,0.000733584,0.000733584,0.000733584
16,32.454,1.03058,2.04731,2.28001,0.36433,0.13475,0.07742,0.02323,2.19711,8.72158,3.74289,0.000782701,0.000782701,0.000782701
17,34.5007,1.06004,1.98481,2.30487,0.40425,0.12407,0.09243,0.02738,2.20411,8.48277,3.75319,0.000831694,0.000831694,0.000831694
18,36.5707,1.03683,2.17105,2.21842,0.13752,0.16738,0.09657,0.02469,2.24676,8.56633,3.85223,0.000880557,0.000880557,0.000880557
19,38.6486,1.02967,2.04215,2.23448,0.18588,0.19587,0.10478,0.02787,2.2473,8.85699,3.92399,0.00092928,0.00092928,0.00092928
20,40.6986,1.02602,1.99133,2.2564,0.18907,0.24828,0.11975,0.03257,2.24503,8.36054,3.98271,0.000977856,0.000977856,0.000977856
21,42.8838,1.01239,1.908,2.22982,0.2421,0.19282,0.13542,0.03084,2.23039,8.67557,3.93445,0.00102628,0.00102628,0.00102628
