epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,87.0164,1.78695,1.51549,1.72723,0.06999,0.17163,0.05875,0.01802,3.23283,5.09073,2.95782,0.00119384,0.00119384,0.00119384
43,89.1076,1.72915,1.34579,1.81802,0.03868,0.16119,0.04064,0.01096,3.25756,5.00696,2.99122,0.00119111,0.00119111,0.00119111
44,91.2006,1.62492,1.26138,1.65546,0.0339,0.18377,0.03333,0.00895,3.29021,5.19401,3.07831,0.00118832,0.00118832,0.00118832
45,93.3175,1.68584,1.36783,1.74625,0.03391,0.10918,0.03044,0.00884,3.30367,5.51482,2.99732,0.00118547,0.00118547,0.00118547
46,95.4143,1.72568,1.32422,1.67682,0.0576,0.0897,0.04704,0.01306,3.39059,6.03624,2.96357,0.00118256,0.00118256,0.00118256
47,97.5182,1.64338,1.33207,1.6928,0.03835,0.12946,0.03627,0.01091,3.38928,5.9112,3.10883,0.00117959,0.00117959,0.00117959
48,99.6077,1.73726,1.41624,1.76352,0.35243,0.04465,0.04328,0.01308,3.41688,5.10194,3.25617,0.00117656,0.00117656,0.00117656
49,101.709,1.52518,1.27051,1.6407,0.33241,0.1029,0.03435,0.00915,3.42946,5.05291,3.29806,0.00117346,0.00117346,0.00117346
50,103.801,1.62508,1.3764,1.71152,0.34293,0.11115,0.04443,0.0112,3.39005,4.8825,3.21334,0.00117031,0.00117031,0.00117031
51,105.905,1.63913,1.28347,1.77448,0.34674,0.10673,0.06555,0.02125,3.4089,4.96241,3.17353,0.0011671,0.0011671,0.0011671
52,108.001,1.65957,1.23744,1.75139,0.87142,0.05814,0.06421,0.02459,3.43668,4.77522,3.27344,0.00116383,0.00116383,0.00116383
53,110.101,1.60612,1.24756,1.66659,0.39244,0.10446,0.07423,0.02619,3.46109,4.61028,3.27202,0.00116051,0.00116051,0.00116051
54,112.202,1.60835,1.29131,1.61993,0.44086,0.12124,0.10873,0.03299,3.47363,4.20459,3.27939,0.00115712,0.00115712,0.00115712
55,114.311,1.58546,1.33994,1.68905,0.41027,0.091,0.10915,0.04023,3.39739,4.4309,3.19767,0.00115368,0.00115368,0.00115368
56,116.416,1.5908,1.23879,1.63911,0.65004,0.04668,0.09101,0.03412,3.46924,4.80628,3.20586,0.00115018,0.00115018,0.00115018
57,118.53,1.54127,1.15147,1.61185,0.61238,0.07229,0.08512,0.0327,3.30028,4.95122,2.92085,0.00114662,0.00114662,0.00114662
58,120.623,1.53416,1.13851,1.62273,0.36047,0.05485,0.0685,0.02671,3.30706,5.06306,2.9636,0.00114301,0.00114301,0.00114301
59,122.711,1.67143,1.19659,1.697,0.12433,0.06553,0.06731,0.02273,3.34778,4.95567,3.07323,0.00113934,0.00113934,0.00113934
60,124.798,1.62906,1.15005,1.68278,0.2489,0.09068,0.10712,0.03063,3.39928,4.92121,3.12422,0.00113561,0.00113561,0.00113561
61,126.898,1.53472,1.17217,1.63718,0.28991,0.15038,0.14254,0.04152,3.21714,4.66949,2.98319,0.00113183,0.00113183,0.00113183
62,129.127,1.6386,1.29826,1.67725,0.37798,0.11411,0.09038,0.02262,3.44609,5.17314,3.26697,0.00112799,0.00112799,0.00112799
63,131.218,1.57116,1.21599,1.64602,0.41186,0.09082,0.08584,0.02328,3.5187,4.69703,3.3506,0.0011241,0.0011241,0.0011241
64,133.317,1.59052,1.21407,1.65095,0.40876,0.10556,0.11172,0.03883,3.41755,5.16076,3.13723,0.00112016,0.00112016,0.00112016
65,135.419,1.54789,1.28267,1.61705,0.05604,0.14378,0.07348,0.02911,3.41146,5.34195,3.08244,0.00111616,0.00111616,0.00111616
66,137.515,1.67016,1.20832,1.68739,0.3678,0.07451,0.06927,0.02696,3.37104,5.12121,3.04299,0.00111211,0.00111211,0.00111211
67,139.61,1.51675,1.23799,1.57006,0.36478,0.07278,0.06559,0.02493,3.40579,5.00342,3.11081,0.00110801,0.00110801,0.00110801
68,141.704,1.6099,1.25673,1.66097,0.4024,0.10927,0.08447,0.03219,3.44752,4.975,3.30741,0.00110385,0.00110385,0.00110385
69,143.794,1.43695,1.18799,1.56978,0.2228,0.10965,0.09525,0.03751,3.47136,4.67512,3.24426,0.00109964,0.00109964,0.00109964
