epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,89.8886,1.01709,2.09309,1.11423,0.10728,0.22192,0.07632,0.0191,2.18757,8.30158,1.91014,0.0012182,0.0012182,0.0012182
43,91.9797,1.02297,2.10739,1.14943,0.11259,0.21192,0.08196,0.02176,2.18796,7.98117,1.86909,0.00121664,0.00121664,0.00121664
44,94.0608,1.06032,2.01711,1.1305,0.11824,0.18601,0.07713,0.01936,2.18452,8.52285,1.8808,0.00121505,0.00121505,0.00121505
45,96.1582,1.01766,2.01304,1.15188,0.11538,0.20415,0.08046,0.01999,2.25149,8.85819,1.98413,0.00121342,0.00121342,0.00121342
46,98.2369,1.04584,2.29053,1.1511,0.13247,0.16613,0.08465,0.02223,2.2699,8.65779,1.90993,0.00121176,0.00121176,0.00121176
47,100.328,1.01169,2.13188,1.17015,0.13509,0.17313,0.073,0.01905,2.20673,9.0068,1.89626,0.00121006,0.00121006,0.00121006
48,102.416,1.0323,2.01387,1.12552,0.10487,0.20083,0.05819,0.01542,2.22375,9.5934,1.93711,0.00120832,0.00120832,0.00120832
49,104.514,1.0466,1.94465,1.10153,0.10296,0.19278,0.06651,0.01868,2.17478,9.63856,1.89017,0.00120655,0.00120655,0.00120655
50,106.619,1.03572,1.95965,1.16355,0.10393,0.19997,0.07126,0.01995,2.18448,9.22873,1.88482,0.00120474,0.00120474,0.00120474
51,108.706,1.05275,2.10822,1.19249,0.13404,0.16299,0.09023,0.02553,2.20801,8.73287,1.88675,0.0012029,0.0012029,0.0012029
52,110.809,1.07586,2.08796,1.17575,0.12845,0.15747,0.08811,0.02819,2.24375,8.40794,1.93531,0.00120102,0.00120102,0.00120102
53,112.902,1.04131,2.17681,1.16793,0.15159,0.1654,0.09769,0.02705,2.23149,8.28027,1.92734,0.00119911,0.00119911,0.00119911
54,115.002,0.97984,2.05465,1.12953,0.13259,0.16923,0.06717,0.01813,2.20364,8.63186,1.87202,0.00119716,0.00119716,0.00119716
55,117.089,0.99645,2.07865,1.09989,0.13813,0.16759,0.06423,0.01878,2.20028,8.4892,1.86455,0.00119518,0.00119518,0.00119518
56,119.183,1.07718,2.10081,1.12685,0.11782,0.18393,0.08634,0.02436,2.20991,8.2591,1.89618,0.00119316,0.00119316,0.00119316
