epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,36.8903,1.45495,1.10488,1.35989,0.06665,0.19689,0.04397,0.01104,3.18857,5.56316,2.75543,0.000742625,0.000742625,0.000742625
43,37.6741,1.45627,1.04323,1.30629,0.06744,0.2196,0.03851,0.00969,3.22109,5.87483,2.77353,0.00073025,0.00073025,0.00073025
44,38.4748,1.31776,0.9326,1.27686,0.11043,0.16879,0.03998,0.01015,3.20505,5.67757,2.77759,0.000717875,0.000717875,0.000717875
45,39.2727,1.36312,1.04985,1.37627,0.06596,0.17461,0.04154,0.01124,3.17437,5.02455,2.75995,0.0007055,0.0007055,0.0007055
46,40.0635,1.39504,0.96515,1.3468,0.11103,0.13965,0.04147,0.01134,3.20932,4.73858,2.75665,0.000693125,0.000693125,0.000693125
47,40.844,1.42934,0.94826,1.2878,0.13705,0.17195,0.06654,0.01791,3.13181,4.49824,2.66307,0.00068075,0.00068075,0.00068075
48,41.6458,1.33277,0.88592,1.27167,0.12282,0.19043,0.06839,0.02255,3.0658,4.45325,2.59315,0.000668375,0.000668375,0.000668375
49,42.4231,1.22365,0.89999,1.2487,0.12151,0.20081,0.08019,0.02968,3.0013,4.19177,2.54587,0.000656,0.000656,0.000656
50,43.2002,1.33511,0.96381,1.40793,0.13015,0.2009,0.08367,0.03064,3.00706,4.16175,2.5661,0.000643625,0.000643625,0.000643625
51,43.9848,1.28335,0.96657,1.18348,0.13807,0.19945,0.08729,0.0308,3.00884,4.19956,2.60588,0.00063125,0.00063125,0.00063125
52,44.814,1.2487,0.90882,1.24071,0.14702,0.2158,0.09082,0.03069,2.99358,4.19709,2.59066,0.000618875,0.000618875,0.000618875
53,45.6178,1.28209,0.98786,1.29533,0.14563,0.22836,0.0812,0.026,3.04697,4.25453,2.60166,0.0006065,0.0006065,0.0006065
54,46.3977,1.20827,0.89583,1.22653,0.16394,0.22815,0.07725,0.02362,3.09434,4.32049,2.62718,0.000594125,0.000594125,0.000594125
55,47.1769,1.33813,0.99666,1.26452,0.13252,0.24553,0.07166,0.02349,2.99521,4.36016,2.55258,0.00058175,0.00058175,0.00058175
56,47.9621,1.30629,0.85453,1.23397,0.09658,0.23231,0.07032,0.02322,2.83738,4.15209,2.40911,0.000569375,0.000569375,0.000569375
57,48.739,1.26703,0.98021,1.29623,0.11359,0.21535,0.07256,0.02254,2.84278,4.03829,2.43119,0.000557,0.000557,0.000557
58,49.5243,1.29333,0.93605,1.29389,0.19041,0.1494,0.07435,0.02278,2.94823,4.20413,2.51955,0.000544625,0.000544625,0.000544625
59,50.307,1.1413,0.88105,1.19309,0.26306,0.12559,0.08892,0.02439,2.96733,4.22575,2.54356,0.00053225,0.00053225,0.00053225
60,51.0943,1.27487,0.92388,1.25819,0.24007,0.12646,0.09941,0.02943,2.89258,4.06948,2.49228,0.000519875,0.000519875,0.000519875
61,51.8709,1.20907,0.8044,1.16103,0.20806,0.14265,0.10551,0.036,2.84806,3.89766,2.43372,0.0005075,0.0005075,0.0005075
62,52.6815,1.16755,0.82512,1.21878,0.14198,0.16811,0.0869,0.02966,2.92819,3.83401,2.46222,0.000495125,0.000495125,0.000495125
63,53.4564,1.03979,0.75999,1.1206,0.15852,0.17779,0.08175,0.02644,2.93623,3.82057,2.4436,0.00048275,0.00048275,0.00048275
64,54.2362,1.10137,0.771,1.12751,0.16987,0.18541,0.0765,0.02614,2.91808,3.89225,2.42791,0.000470375,0.000470375,0.000470375
65,55.0118,1.14422,0.77977,1.14764,0.17794,0.1748,0.08998,0.03013,2.89553,3.97231,2.42648,0.000458,0.000458,0.000458
66,55.8135,1.14602,0.72518,1.16079,0.15546,0.19155,0.10137,0.03476,2.90503,3.91726,2.43711,0.000445625,0.000445625,0.000445625
67,56.5963,1.03029,0.69406,1.11597,0.16523,0.20162,0.11415,0.04007,2.89845,3.87713,2.43579,0.00043325,0.00043325,0.00043325
68,57.4059,1.1631,0.77056,1.25002,0.14854,0.20865,0.11148,0.04176,2.90866,3.89148,2.43592,0.000420875,0.000420875,0.000420875
69,58.2196,1.141,0.80052,1.16813,0.19776,0.19728,0.10404,0.03813,2.96388,3.98237,2.45209,0.0004085,0.0004085,0.0004085
70,59.0076,1.09666,0.75419,1.1416,0.20988,0.2034,0.10272,0.03786,2.98335,4.03801,2.46329,0.000396125,0.000396125,0.000396125
71,59.7804,1.09571,0.792,1.15505,0.19856,0.2045,0.09779,0.03629,2.99392,4.09124,2.48883,0.00038375,0.00038375,0.00038375
72,60.5607,1.04046,0.75468,1.13698,0.17687,0.22641,0.10235,0.03632,3.0022,4.1053,2.50601,0.000371375,0.000371375,0.000371375
73,61.3306,1.07859,0.72403,1.12975,0.20292,0.22298,0.11105,0.04071,2.95994,4.0609,2.49138,0.000359,0.000359,0.000359
74,62.108,1.02556,0.71688,1.1182,0.25354,0.21457,0.13272,0.04683,2.95046,4.01692,2.47628,0.000346625,0.000346625,0.000346625
75,62.9207,1.00419,0.69538,1.11102,0.27387,0.21457,0.14233,0.05058,2.93819,3.97955,2.47024,0.00033425,0.00033425,0.00033425
76,63.7336,1.10974,0.73378,1.16387,0.28801,0.22009,0.15398,0.05532,2.91575,3.96778,2.46016,0.000321875,0.000321875,0.000321875
77,64.5468,0.98124,0.6961,1.1167,0.26965,0.22196,0.15138,0.06106,2.89683,4.0166,2.45707,0.0003095,0.0003095,0.0003095
78,65.3672,1.04923,0.73016,1.18337,0.25112,0.21457,0.13599,0.05776,2.9094,4.05698,2.46074,0.000297125,0.000297125,0.000297125
79,66.1502,1.00034,0.66719,1.12025,0.24228,0.20506,0.12743,0.04997,2.92161,4.09896,2.46591,0.00028475,0.00028475,0.00028475
80,66.9371,0.91918,0.65881,1.06697,0.19927,0.23847,0.12243,0.04793,2.93502,4.12569,2.47393,0.000272375,0.000272375,0.000272375
81,67.7107,0.94609,0.67701,1.07792,0.2121,0.2264,0.12029,0.04677,2.90862,4.13804,2.45931,0.00026,0.00026,0.00026
82,68.5029,0.99691,0.68972,1.13441,0.20038,0.22652,0.11722,0.04623,2.88197,4.12359,2.44538,0.000247625,0.000247625,0.000247625
83,69.2757,0.99295,0.67982,1.10815,0.23216,0.20766,0.13092,0.04937,2.89223,4.08392,2.45479,0.00023525,0.00023525,0.00023525
84,70.1115,0.96288,0.67099,1.13211,0.22946,0.20931,0.12258,0.04629,2.91449,4.04642,2.47038,0.000222875,0.000222875,0.000222875
85,70.885,0.96537,0.63743,1.06123,0.22112,0.21096,0.12552,0.04559,2.9086,4.02843,2.46715,0.0002105,0.0002105,0.0002105
86,71.6643,1.00945,0.78802,1.10317,0.21079,0.21363,0.12345,0.04465,2.90311,4.05392,2.45162,0.000198125,0.000198125,0.000198125
87,72.4335,0.96343,0.68478,1.09239,0.21449,0.20325,0.12242,0.04495,2.90127,4.0953,2.44255,0.00018575,0.00018575,0.00018575
88,73.2113,0.95197,0.71448,1.07764,0.22236,0.20275,0.12015,0.04522,2.89702,4.11451,2.43681,0.000173375,0.000173375,0.000173375
89,73.9848,0.93421,0.66972,1.08721,0.21921,0.19477,0.11997,0.04698,2.8958,4.11151,2.43456,0.000161,0.000161,0.000161
90,74.7602,0.87901,0.61223,1.05347,0.21982,0.19579,0.1178,0.04458,2.88182,4.0781,2.42751,0.000148625,0.000148625,0.000148625
91,75.9277,1.03028,0.59263,1.13443,0.20865,0.20766,0.1171,0.04333,2.89709,4.07705,2.4341,0.00013625,0.00013625,0.00013625
92,76.7236,0.95406,0.59531,1.12072,0.2223,0.21276,0.11669,0.04448,2.90422,4.08702,2.42693,0.000123875,0.000123875,0.000123875
93,77.5033,0.89973,0.57449,1.0668,0.21803,0.21551,0.11864,0.04507,2.9185,4.08779,2.43245,0.0001115,0.0001115,0.0001115
94,78.2679,0.98608,0.5752,1.11293,0.23752,0.20769,0.11554,0.04423,2.9275,4.089,2.4332,9.9125e-05,9.9125e-05,9.9125e-05
95,79.0461,0.81964,0.52124,1.01821,0.24334,0.2044,0.11716,0.04447,2.93668,4.12166,2.43695,8.675e-05,8.675e-05,8.675e-05
96,79.8096,0.81491,0.52378,1.01525,0.25477,0.19905,0.11181,0.04293,2.94899,4.15712,2.44773,7.4375e-05,7.4375e-05,7.4375e-05
97,80.5933,0.7934,0.5158,0.99197,0.22491,0.20173,0.11169,0.04308,2.97195,4.17941,2.46794,6.2e-05,6.2e-05,6.2e-05
98,81.3673,0.83548,0.53202,1.02815,0.21605,0.20542,0.1116,0.0432,2.97823,4.18754,2.47471,4.9625e-05,4.9625e-05,4.9625e-05
99,82.1387,0.86729,0.53295,1.0328,0.21783,0.21359,0.11154,0.04307,2.98492,4.20347,2.48157,3.725e-05,3.725e-05,3.725e-05
100,82.9056,0.83944,0.52098,1.00825,0.21483,0.21359,0.11186,0.04283,2.9889,4.20414,2.48523,2.4875e-05,2.4875e-05,2.4875e-05
